evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D1_S0622,Theme_1_Balanced_Contentment,D1_S0622,HWCH10AR.docx,10,D1_P25,participant,"Psychologist, Table 10",identified,note_style_transcript_summary,Q1,"Described well-being as a balance of physical, emotional, and spiritual aspects, noting that spiritual strength is a significant protective factor for families in the local culture compared to her experience in the UK. Shared a personal story about being hospitalized for burnout, emphasizing that healthcare professionals often forget to enforce the ""balance"" they preach to others. Strongly cautioned against judging by appearance, giving the example of well-presented teenagers who may be self-har",balance_multidimensional;cultural_local_adaptation;healthcare_worker_wellbeing;pillar_emotional;pillar_physical;spiritual_moral_anchor,en,theme_evidence
D1_S0959,Theme_1_Balanced_Contentment,D1_S0959,HWCH6AR.docx,6,D1_P11,participant,"Community volunteer, Table 6",identified,verbatim_transcript,Q3,بدل أن نظل ندخل مثلا للمريض يعني توفير الوقت لكي يوفرللموظف هذه من الأشياء الأساسية. الأمر الثاني نظل نتحدث؟ نل نتحدث لهم هذا الحكم. ماذا عملنا؟ماذا عملنا بالنسبة له؟ كيف دخلناه؟ لا يوجد، لا يوجد. Work life balance مرات تكون title، لكن ماذا عملنا فيه؟ لم عملنا فيه شيء، عرفت علي؟ ثانية، نقول أهم شيء في رضا الموظف او being flexible schedule. هذه معروفة،xle schedule، لكن أين schedule؟ غصبا عنهم، نضع لهم و تمشون عليه، صحيح، لكن هناك بعض المؤسسة هناك تغيير، أنا لا أحدث لك غير موجود، لكن أنا أتحدث بشم,balance_multidimensional,ar,theme_evidence
D1_S0548,Theme_1_Balanced_Contentment,D1_S0548,HWCH0AR.docx,0,D1_P04,participant,"Wellbeing researcher, Table 0",identified,verbatim_transcript,Q3,"I mean, also, also with this nanny, like, you know, like sending your children to kindergartens or like having, you know, like, you know, you know, second mothers or care, we have lots and lots of teachers who are like off their duty and they are, they have plenty of time to, you know, for, you know, to gain some financial stability and to take care of other children, you know, so like, it's just like a match.",child_vulnerability;safety_security;school_clinical_link,ar,theme_evidence
D1_S0145,Theme_1_Balanced_Contentment,D1_S0145,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,verbatim_transcript,Q3,"I will add to them. I always think about it this way, when I teach my student, my residents in psychiatry, I always bring the, the, the other example of physical medicine. They think that we can treat diabetes by giving them insulin, which is true partially it's true, but without a quality of life that they exercise, they care about the diet, they accept that they are having diabetes and work on it.",pillar_physical,ar,theme_evidence
D1_S0007,Theme_1_Balanced_Contentment,D1_S0007,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,verbatim_transcript,Q1,"That I might be genetic or something, but, but from a, from a work point of view, and I think this is relevant to Qatar, I think the thing that I'm most proud of is, um, the introduction of the national Mental Health Health plan. Um, just a very brief story. So we were doing some, um, mental health awareness and we did a walk with Cater Airways on the runway at, at Dohan International Airport.",awareness_education;pillar_intellectual,ar,theme_evidence
D1_S0180,Theme_1_Balanced_Contentment,D1_S0180,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,verbatim_transcript,Q3,"From coast to coast, uh, across the globe. They are still unfortunately not, uh, teaching medicine in a holistic way. You, you find the people teaching physical, disconnected from the mental and social component. Even some of them, they. Actually, and these are the, the small percentage, they don't see the nonphysical as true medicine and they, they tend to undermine it, which is wrong.",balance_multidimensional;pillar_physical;pillar_social;system_disconnection,ar,theme_evidence
D1_S0937,Theme_1_Balanced_Contentment,D1_S0937,HWCH6AR.docx,6,D1_P10,participant,"Psychologist, Table 6",identified,verbatim_transcript,Q3,عندما تيروتونين مشكلة ينقص في المخ، فغير يصب في حالة توتر أو قلق أو أي شيء، تنعكس على الجسد. ممتاز. إذن يعني هنا هم تداخل الركائز الصحيح دكتورة وبدلا أن يكون مثلا emotional عنده مشكلة تنعكس. كل يوم (participant طبيبة أطفال) أحب أن أقول أن المجتمعات صارت مثلا هذا التغيير أو كذا. لا، يعني دعنا نخرج مثلا على الأبل، دعنا نع على الفرق بين مثلا كوريا الشمالية وكوريا الجنوبية.,pillar_emotional,ar,theme_evidence
D1_S0202,Theme_1_Balanced_Contentment,D1_S0202,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,verbatim_transcript,Q3,"And, uh, the beauty of, even if we are not learning much, but as sharing what we know, sharing the knowledge in itself, it's a powerful tool to do. When I used to be, uh, the program director for the, uh, undergrad in University of Arawa, three years, I meet with the student. We, we get 120 every year, uh, from the Anglophone stream and 40 from the Francophone.",pillar_intellectual,ar,theme_evidence
D1_S0379,Theme_1_Balanced_Contentment,D1_S0379,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,verbatim_transcript,Q5,"Who said it's not a psychologist? Yeah. Or someone with social services. Yeah. Social workers know it will being someone who knows comprehensively about all things around that gap of the students, the human nice. So I think we need this. Is that what we have said? We need to know what are working, what are things that not working?",pillar_social;system_disconnection,ar,theme_evidence
D1_S0664,Theme_1_Balanced_Contentment,D1_S0664,HWCH10AR.docx,10,D1_P26,participant,"Social worker, Table 10",identified,note_style_transcript_summary,Q4,Called for more inclusive resources accessible based on need rather than financial ability.,child_rights_inclusion;child_vulnerability;family_support_ecology;pillar_social;respite_inclusive_resources,en,theme_evidence
