evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D3_S0004,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0004,HWAD10AR.docx,10,D3_P19,participant,"Admin, HMC Mental Health, Table 10",identified,verbatim_transcript,Q1,"To me, well-being is really all about feeling reasonably content and able to cope with the stressors. Whatever those stressors are, whether they come from personal or working life, despite all of that, having the happy Tuesdays and the happy Wednesdays, that is well-being for me.",functionality_coping_capacity;work_life_strain;professional_identity,en,theme_evidence
D3_S0008,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0008,HWAD10AR.docx,10,D3_P21,participant,"Manager, occupational therapy, Sidra, Table 10",identified,verbatim_transcript,Q1,"I'm an occupational therapist. For me, it's about balance. Wellness is about balance. Work-rest-play balance is one of our mantras. But it's also about my ability to participate in society, in the roles that are important to me. It's about acknowledging that balance might mean I focus on this point at one point, but then I'm going to shift the balance to this point. It's that ability to move between those phases of balanced participation wherever I want to be, in what's meaningful for me as an individual.",balance_multidimensional;work_life_strain;system_responsibility_orientation;professional_identity,en,theme_evidence
D3_S0030,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0030,HWAD10AR.docx,10,D3_P25,participant,"GP, private healthcare center, Table 10",identified,verbatim_transcript,Q1,"For me, well-being, I've studied a lot, it's basically balance, but most importantly, for me it's the one inside, inside of you. Because once you feel like simply happy, contented, it will exude out your personality and it follows your health and the attitude of the people around you, your attitude towards them.",balance_multidimensional;relational_connectedness;hidden_distress_masking;professional_identity,en,theme_evidence
D3_S0405,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0405,HWAD1AR.docx,1,D3_P01,participant,"Islamic affairs expert and family-education consultant, Table 1",identified,verbatim_transcript,Q1,الحياة الطيبة طبعا انطلاق من قوله تعالى فلنحيينه حياة طيبة، الحياة الطيبة كما قال ابن القيم في الدنيا وفي البرزخ وفي الآخره، والحياة الطيبة بمعناها الكبير لا تتحقق إلا لمؤمن يرضى بقضاء الله وقدره وهي الحياة السعيدة، والسعادة هي نبع النفوس المؤمنة بالله الراضية بقضائه وقدره المواظبة على ذكره وشكره وحسن عبادته وهي تحقق المعانا الذي ذكروها الدكتور وايل وابننا التي هي التقبل والرضى والمرونة يعني هذه المعاني كلها تتحقق ويستطيع ان يتكيف مع كل الظروف، لا تملك الظروف لكن كيف يتكيف معها والحمد لله المؤمن يتكيف معها ويرجو ما عند الله يعني يرجو ايضا ثواب على هذا، وبالتالي انا اريد ان اقول يعني فعلا يمكن أن أطيل قليلا، لكن فكره الحياة الطيبة لا يصل لها الا مؤمن ممكن أن يقول لا هناك ناس غير مؤمنين يعيشون بالطول والعرض.,spiritual_moral_anchor;professional_identity,ar,theme_evidence
D3_S0406,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0406,HWAD1AR.docx,1,D3_P01,participant,"Islamic affairs expert and family-education consultant, Table 1",identified,verbatim_transcript,Q1,انا عجبتني العبارة التي قال الدكتور خالد التي هي الحالة الآنية، يمكن هذه معادلة مهمة جدا أن مشكلة الناس إما بكاء على اللبن المسكوب أو محاولة عبور الجسر قبل الوصول إليه، يعني التفكير في المستقبل او الحزن على ما والله قال لكي لا تأسوا على ما فاتوا. قال ابن عباس ليس من إنسان إلا ويفرح ويحزن، لكن المؤمن يجعل حزنه صبر ويجعل يعني الجانب الثاني شكرا لله تبارك وتعالى، فمسألة أن يعيش الإنسان الحالة الآنية للتكيف مع الوضع لأنه لا يملك التغيير انما العبارات التي قالت الدكتورة الرضا، المرونة، التقابل، التكيف، التعايش مع الوضع هذا هو لحق المعادلة المختصة، لأن الناس مثلما يقولون اما حين على شيء ماضي أو خائف من المستقبل ويقول لا تحاول عبور الجسر قبل الوصول إليه، وما وصل الآن يعني يحاول شكرا.,contentment_acceptance;spiritual_moral_anchor;professional_identity,ar,theme_evidence
D3_S0488,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0488,HWAD3AR.docx,3,D3_U01,unclear,"Unclear speaker identity cluster, Table 3",indeterminate,verbatim_transcript,Q1,أنا بالنسبة لي الحياة الطيبة أو wellbeing يعني هو شيء نسبي، صح؟ يعني أنا أنا بعتبره wellbeing يمكن غيري ما يعتبره تعريفي له، وهنا يعني نسمع أنه ولو أن هناك أشياء متشابهة، أيضا كل شخص عنده your own take on it. فأنا بالنسبة لي well-being is alignment. ما هي الكلمة بالعربي بالضبط؟ Alignment توائم أو alignment بين يعني your inner values and your actions.,values_action_alignment;provider_self_as_adult;language_cultural_mismatch,ar,theme_evidence
D3_S0496,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0496,HWAD3AR.docx,3,D3_P05,participant,"Student, Table 3",identified,verbatim_transcript,Q1,إجاباتي في الجلسة ستكون كلها بناء على تجربتي الشخصية. الصراحة اليوم أستطيع أن أقول أن فعلا أنا أشعر بالحياة الطيبة، لو سألتني سؤال قبل سنة، أقول لك ما هي الحياة الطيبة. لما اشوف الركائز الركيزتين التي كانت غايبة عندي. هي الركيزة الروحية، والركيزة العاطفية كانت موجودة، لكن كانت مضطربة. يعني اجتماعيا تمام، بدنيا تمام، فكريا ت، كل شيء تمام، لكن بين الروحية والعاطفية فيه اضطراب كبير، فعندما حققت التوازن الحمد لله، هنا صار هناك حياة طيبة.,balance_multidimensional;spiritual_moral_anchor;pillar_spiritual;pillar_emotional;student_voice,ar,theme_evidence
D3_S0775,Theme_1_Adult_Wellbeing_as_Integrated_Balance,D3_S0775,HWAD4AR.docx,4,D3_P15,participant,"Senior research assistant, medical research centre, Table 4",identified,verbatim_transcript,Q1,مفهوم الحياة الطيبة هو ان الواحد يكون راضي اول شيء عن بما قسم الله له في الحياة. فالرضا وبعدها سبحان الله احتياجات الإنسان تختلف من شخص لشخص، فعشان الواحد يصل حق حياة طيبة يعني ارى احتياجاتي اذا هي وأحاول أن أوصلها بحيث ان أنا ممكن يعني أطبق الذي هو الركائز الخمسة يعني هو الروحية، البدنية، الاجتماعية، تكون علاقتي طيبة بالناس. الروحية أن يكون يعني إيمان يغذي الروح الروح تحتاج حق غذاء، البدن يحتاج غذاء من مصدر  ثاني. فالحياة طيبة أن الواحد، سبحان الله يوفقه ان يوازن في حياته في جميع المجالات، بحيث انه يكون راضي ويكون مرتاح يعني يوصل مرحلة,balance_multidimensional;contentment_acceptance;spiritual_moral_anchor;pillar_spiritual;pillar_physical;pillar_social;professional_identity,ar,theme_evidence
D3_S0016,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0016,HWAD10AR.docx,10,D3_P23,participant,"Medical student, Table 10",identified,verbatim_transcript,Q1,"It's also very holistic and very collective within the dynamics that we live in. I think what I have been noticing a lot is the relationship within the family, within the society, the close circles and the friends and how it all affects each other. Of course, like everyone has mentioned, a lot of well-being is the spectrum of self-reflection for everyone and the insight that each person has and has a subjective balance for every person.",balance_multidimensional;family_caregiving_ecology;system_responsibility_orientation;patient_provider_relationship;student_voice,en,theme_evidence
D3_S0067,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0067,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,verbatim_transcript,Q2,"I think it's about appreciating where you are at and doing whatever you can, even for your own self to make sure that you're not contributing to part of that misery. And I think that's an adult's responsibility. And so, yeah, I really feel like that's, and I just think there's so much judgment.",adult_role_responsibility;provider_self_as_adult,en,theme_evidence
