source_id,case_id,filename,file_type,source_role,table_id,language,paired_note,format_notes
D3_TX_HWAD1,CASE_D3,HWAD1AR.docx,transcript,primary_verbal,1,Arabic,"HWAD1NT1.docx; HWAD1NT2.docx","Day 3 transcript. Arabic transcript with named speaker lines and a confirmed moderator name in the opening."
D3_TX_HWAD3,CASE_D3,HWAD3AR.docx,transcript,primary_verbal,3,Arabic_mixed,HWAD3NT1.docx,"Day 3 transcript. Mixed Arabic-English discussion with short speaker labels and substantial flowing text between identifiable speaker markers."
D3_TX_HWAD4,CASE_D3,HWAD4AR.docx,transcript,primary_verbal,4,Arabic_mixed,,"Day 3 transcript. Arabic-led transcript with role-labelled speakers, repeated moderator prompts, and some English turns."
D3_TX_HWAD6,CASE_D3,HWAD6AR.docx,transcript,primary_verbal,6,Arabic_mixed,,"Day 3 transcript. Predominantly flowing Arabic discussion with one stable named participant label and weak moderator traceability."
D3_TX_HWAD10,CASE_D3,HWAD10AR.docx,transcript,primary_verbal,10,English,"HWAD10NT1.docx; HWAD10NTI.docx","Day 3 transcript. English transcript with Speaker N labels and explicit moderator turns."
D3_NT_HWAD0,CASE_D3,HWAD0NT1.docx,note,contextual_triangulation,0,Arabic,,"Day 3 note-only source with the standard seven-question template and no paired transcript."
D3_NT_HWAD1A,CASE_D3,HWAD1NT1.docx,note,contextual_triangulation,1,Arabic,,"Day 3 note file paired to HWAD1AR with the standard seven-question template."
D3_NT_HWAD1B,CASE_D3,HWAD1NT2.docx,note,contextual_triangulation,1,Arabic,,"Second Day 3 note file paired to HWAD1AR."
D3_NT_HWAD3,CASE_D3,HWAD3NT1.docx,note,contextual_triangulation,3,Arabic,,"Day 3 note file paired to HWAD3AR."
D3_NT_HWAD5,CASE_D3,HWAD5NT1.docx,note,contextual_triangulation,5,Arabic,,"Day 3 note-only source with no paired transcript."
D3_NT_HWAD7,CASE_D3,HWAD7NT1.docx,note,contextual_triangulation,7,Arabic,,"Day 3 note-only source with no paired transcript."
D3_NT_HWAD9,CASE_D3,HWAD9NT1.docx,note,contextual_triangulation,9,Arabic,,"Day 3 note-only source with no paired transcript."
D3_NT_HWAD10A,CASE_D3,HWAD10NT1.docx,note,contextual_triangulation,10,English,,"English Day 3 note file paired to HWAD10AR."
D3_NT_HWAD10B,CASE_D3,HWAD10NTI.docx,note,contextual_triangulation,10,English,,"English Day 3 note file likely paired to HWAD10AR; irregular filename requires explicit tooling caution."
D3_NT_HWAD11A,CASE_D3,HWAD11NT2.docx,note,contextual_triangulation,11,English,,"Day 3 note-only source with an English seven-question template and no paired transcript."
D3_NT_HWAD11B,CASE_D3,HWAD11NT3.docx,note,contextual_triangulation,11,English,,"Second Day 3 note-only source for table 11 with no paired transcript."
D3_REC,CASE_D3,Health_Workshop_Suggestions Day 3.xlsx,recommendation_workbook,auxiliary_recommendation,all,mixed,,"Standalone auxiliary recommendation workbook for Day 3. Use only as clearly labeled auxiliary recommendation material, primarily for Q6/Q7."
