anonymized_code,source_file,table_id,speaker_type,segment_count,total_chars,questions_covered,top_codes
D2_P01,HWYO0AR.docx,0,participant,3,871,Q3;Q5;Q6,family_support_ecology;peer_belonging_isolation
D2_P02,HWYO0AR.docx,0,participant,10,3564,Q1;Q2;Q3;Q4;Q5;Q6,spiritual_moral_anchor;balance_multidimensional;family_support_ecology;digital_social_media_pressure;patient_provider_relationship
D2_P03,HWYO0AR.docx,0,participant,10,3713,Q1;Q2;Q3;Q4;Q5;Q6,balance_multidimensional;patient_provider_relationship;digital_social_media_pressure;peer_belonging_isolation;confidentiality_trust_barrier
D2_P04,HWYO0AR.docx,0,participant,11,3293,Q1;Q2;Q3;Q4;Q5,confidentiality_trust_barrier;balance_multidimensional;peer_belonging_isolation;top_down_system_change;whole_person_care
D2_P05,HWYO0AR.docx,0,participant,8,3116,Q1;Q2;Q3;Q4;Q5;Q6,balance_multidimensional;spiritual_moral_anchor;top_down_system_change;confidentiality_trust_barrier;contentment_acceptance
D2_P06,HWYO0AR.docx,0,participant,2,888,Q5;Q6,empathy_reassurance;patient_provider_relationship;spiritual_moral_anchor;top_down_system_change
D2_P09,HWYO4AR.docx,4,participant,3,338,Q1;Q2,general_response;service_recipient_voice
D2_P10,HWYO4AR.docx,4,participant,5,854,Q3;Q4;Q5,youth_specific_service_design;balance_multidimensional;support_as_wellbeing_core
D2_P11,HWYO4AR.docx,4,participant,6,962,Q2;Q3;Q4,family_support_ecology;fragmented_service_pathway
D2_P12,HWYO4AR.docx,4,participant,7,1479,Q2;Q3;Q4;Q5,youth_specific_service_design;balance_multidimensional;contentment_acceptance;family_support_ecology;spiritual_moral_anchor
D2_P13,HWYO4AR.docx,4,participant,2,632,Q3;Q5,balance_multidimensional
D2_P14,HWYO7AR.docx,7,participant,5,1128,Q3;Q5;Q7,balance_multidimensional;empathy_reassurance;language_cultural_mismatch;support_as_wellbeing_core;youth_specific_service_design
D2_P15,HWYO9AR.docx,9,participant,11,2283,Q1;Q2;Q3;Q4;Q5;Q6;Q7,interdisciplinary_integration;practical_recommendation;communication_training_need;family_inclusive_care;family_support_ecology
D2_P16,HWYO9AR.docx,9,participant,5,1554,Q1;Q2;Q3;Q5;Q6,access_delay_waiting;balance_multidimensional;interdisciplinary_integration;spiritual_moral_anchor
D2_P17,HWYO9AR.docx,9,participant,12,3340,Q1;Q2;Q3;Q4;Q5;Q6;Q7,balance_multidimensional;communication_training_need;contentment_acceptance;family_support_ecology;awareness_outreach
D2_P18,HWYO9AR.docx,9,participant,2,486,Q1;Q6,awareness_outreach;communication_training_need;contentment_acceptance;interdisciplinary_integration
D2_P19,HWYO9AR.docx,9,participant,3,438,Q1;Q2,spiritual_moral_anchor
D2_P20,HWYO9AR.docx,9,participant,9,1720,Q1;Q2;Q3;Q4,empathy_reassurance;youth_transition_pressure
D2_P21,HWYO9AR.docx,9,participant,5,1694,Q1;Q4;Q5;Q7,awareness_outreach;balance_multidimensional;confidentiality_trust_barrier;digital_social_media_pressure;functionality_self_management
D2_P22,HWYO9AR.docx,9,participant,14,3146,Q1;Q2;Q3;Q4;Q5;Q6;Q7,language_cultural_mismatch;balance_multidimensional;communication_training_need;contentment_acceptance;functionality_self_management
D2_P24,HWYO10AR.docx,10,participant,6,966,Q1;Q2;Q4,functionality_self_management;access_delay_waiting;consultation_time_pressure;environment_design_stress;healthcare_worker_wellbeing
D2_P25,HWYO10AR.docx,10,participant,13,2046,Q1;Q2;Q4,top_down_system_change;balance_multidimensional;family_support_ecology;inner_peace_stability;interdisciplinary_integration
D2_P26,HWYO10AR.docx,10,participant,4,629,Q1;Q2;Q4,balance_multidimensional;healthcare_worker_wellbeing;peer_belonging_isolation;support_as_wellbeing_core
D2_P27,HWYO10AR.docx,10,participant,6,762,Q1;Q2;Q4,access_delay_waiting;support_as_wellbeing_core;contentment_acceptance;family_support_ecology;top_down_system_change
D2_P28,HWYO10AR.docx,10,participant,8,1343,Q1;Q2;Q4,top_down_system_change;balance_multidimensional;consultation_time_pressure;healthcare_worker_wellbeing;interdisciplinary_integration
D2_P29,HWYO10AR.docx,10,participant,5,769,Q1;Q2;Q4,access_delay_waiting;balance_multidimensional;functionality_self_management;inner_peace_stability;spiritual_moral_anchor
D2_P30,HWYO10AR.docx,10,participant,6,922,Q1;Q2;Q4,access_delay_waiting;family_support_ecology;functionality_self_management;healthcare_worker_wellbeing;inner_peace_stability
D2_P32,HWYO11AR.docx,11,participant,7,4795,Q1;Q2;Q3;Q5,family_support_ecology;balance_multidimensional;patient_provider_relationship;spiritual_moral_anchor;stigma_help_seeking_barrier
D2_P34,HWYO11AR.docx,11,participant,3,2360,Q2;Q3,balance_multidimensional;family_support_ecology;functionality_self_management;self_disclosure_hidden_distress;spiritual_moral_anchor
D2_P35,HWYO11AR.docx,11,participant,9,4942,Q1;Q2;Q3;Q5,spiritual_moral_anchor;balance_multidimensional;family_support_ecology;self_disclosure_hidden_distress;access_delay_waiting
D2_P38,HWYO11AR.docx,11,participant,12,5733,Q2;Q3;Q5;Q6,support_as_wellbeing_core;balance_multidimensional;contentment_acceptance;consultation_time_pressure;access_delay_waiting
