segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D3_S0001,HWAD10AR.docx,10,D3_M09,moderator,"Moderator, Table 10",indeterminate,Q1,"OK. Stages of our beneficials background with different aspects. Now, as adults, from your perception, from your point of view, what is well-being for you? I need your personal opinion, your understanding of well-being.",moderator_context,en
D3_S0002,HWAD10AR.docx,10,D3_M09,moderator,"Moderator, Table 10",indeterminate,Q1,What is well-being for you? We're answering this as individuals or based on our opinions?,moderator_context,en
D3_S0003,HWAD10AR.docx,10,D3_M09,moderator,"Moderator, Table 10",identified,Q1,"Individuals working with adults. Do you get me? Yes, please continue.",moderator_context,en
D3_S0004,HWAD10AR.docx,10,D3_P19,participant,"Admin, HMC Mental Health, Table 10",identified,Q1,"To me, well-being is really all about feeling reasonably content and able to cope with the stressors. Whatever those stressors are, whether they come from personal or working life, despite all of that, having the happy Tuesdays and the happy Wednesdays, that is well-being for me.",general_response,en
D3_S0005,HWAD10AR.docx,10,D3_M09,moderator,"Moderator, Table 10",identified,Q1,"Amazing. That's wisdom. Clearly wisdom. Do you know that I learned this very nice word from Katya? First time, she sent me an email. She told me, happy Sunday, happy Wednesday.",moderator_context,en
D3_S0006,HWAD10AR.docx,10,D3_M09,moderator,"Moderator, Table 10",identified,Q1,"Yeah, I do that. Happy Thursday. That's our favorite.",moderator_context,en
D3_S0007,HWAD10AR.docx,10,D3_P20,participant,"Manager, social work, Sidra, Table 10",identified,Q1,"Yeah, I would have to agree as well. When I think of well-being from that clinical social work lens, it's wholeness, right? It incorporates all the pillars that we have discussed, being in a place where you are managing those different areas very happily, very contently, in a place that feels safe for you.",general_response,en
D3_S0008,HWAD10AR.docx,10,D3_P21,participant,"Manager, occupational therapy, Sidra, Table 10",identified,Q1,"I'm an occupational therapist. For me, it's about balance. Wellness is about balance. Work-rest-play balance is one of our mantras. But it's also about my ability to participate in society, in the roles that are important to me. It's about acknowledging that balance might mean I focus on this point at one point, but then I'm going to shift the balance to this point. It's that ability to move between those phases of balanced participation wherever I want to be, in what's meaningful for me as an individual.",general_response,en
D3_S0009,HWAD10AR.docx,10,D3_P21,participant,"Manager, occupational therapy, Sidra, Table 10",identified,Q1,"Not where someone else thinks I should be, but where I think I should be as a meaningful activity for me.",general_response,en
D3_S0010,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,Q1,"From a mental health perspective, I think when I'm thinking of adults, there's so much in the stage of life that they are at. What happens in that stage of life? They're realizing things are difficult.",general_response,en
D3_S0011,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,Q1,They're having so many transitions. They're in between the young and the elderly. They have so much to balance and process and also look after themselves.,general_response,en
D3_S0012,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,Q1,"There's an inside and an outside circle. It is that balance, but that balance will never be equal. I think it's like a wheel with all spokes.",general_response,en
