evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D4_S0002,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0002,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,verbatim_transcript,Q1,"For me,. His interpretation provides a clear, clinical definition of ""well."" It includes medication compliance and physical independence but places equal, if not more, importance on the absence of depression and social isolation, acknowledging the critical role of mental health in the elderly. it is a holistic approach where patients lead an independent life and manage their co-morbidities easily. It is not just physical, but mental and emotional, providing them the opportunity to continue doing what they love doing",balance_multidimensional;dignity_autonomy;person_centered_care;mental_health_elderly;professional_identity,en,theme_evidence
D4_S0009,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0009,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,verbatim_transcript,Q1,"For me, well-being is the integration of all aspects: spiritual, emotional, physical, and mental. It means living peacefully and being satisfied with whatever comes to you, even if you have a disability. Happiness is a decision; if you decide to be happy and have a free spirit, you will have well-being.",contentment_acceptance;balance_multidimensional;spiritual_moral_anchor,en,theme_evidence
D4_S0012,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0012,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,verbatim_transcript,Q2,"You can feel the energy and see the smile when a patient is well. If they are not stressed or depressed, they are much more willing to listen to advice regarding their meals and lifestyle. Her interpretation focuses on tangible, external indicators. She views a person's energy, smile, and positive attitude as direct signs of their internal state. A person who is not stressed is more receptive to care, making these observable traits a practical gauge of wellbeing.",general_response,en,close_reading_theme_support
D4_S0034,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0034,HWEL1AR.docx,1,D4_P03,participant,"Home care participant, Hamad Medical Corporation, Table 1",identified,verbatim_transcript,Q1,"ما أقول أن نحن خاليين من المشاكل بالعكس ظروف الحياة كثيرة السلبيات كثيرة وفيه إيجابيات نسميها فيه صعوبات فيه تساهل ونسميها فيها سلبيات فيها إيجابيات بس من اللي يصنع الحياة طيبة؟ الفرد. الفرد من هو اللي يصنع الحياة طيبة. لما أنا حافظ على صحتي. لما أنا حافظ على التفكير التوازن بين العقل وبين القلب. لما أنا أشوف الحياة اللي أنا أفضلها ومش الغير يفضلها الرضا, الثقة بالله. كل هذي تكون لي الحياة طيبة حتى إحنا نسأل الواحد أخبارك اليوم يقول طيب. إذا شو معنى طيب بالنسبة له؟ معنى هو مريض بس يقولك أنا طيب معناة أنه سليم عقليا راضي بقضاء ربه راضي بقضاء بالقدر اللي كاتب له ربه, بالقناعة. هذه تعطيني أنا الحياة طيبة بس إذا أنا بقارن حياتي بحياة فلان بعيش في تعب فبتكون حياتي مش طيبة فهذه يعني مفهوم الحياة الطبية إن هي سلامة العقل سلامة الجسدية سلامة الروحية الثقة بالله الرضا والقناعة. هذي هي. شكرا",contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;pillar_spiritual;pillar_physical,ar,theme_evidence
D4_S0057,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0057,HWEL3AR.docx,3,D4_P08,participant,"Participant, Hamad Medical Corporation, Table 3",identified,verbatim_transcript,Q1,حياة طيبة بمصطلحات بسيطة دوام الصحة وراحة البال كيف نترجمها لدوام الصحة؟ أنه(جسديًا) الواحد يكون عنده صحة وعافية ويقدر يكون معتمد على نفسه ويشعر بقيمته وباعتباره ويقدر يحقق كل شيء لنفسه (شو قلت أنا؟ ) راحة البال هي مصطلح شعبي نستعمله ولما نفكر فيه بعمق يمكن من أهم النعم اللي ربنا بينعمها على الإنسان أنه يكون ضميره مرتاح وباله مرتاح ما فيه قلق، ما فيه شعور بالذنب ما فيه تأنيب ضمير ما فيه عقباتالحياة ،يتهيألي ان الحياة الطيبة هي راحة بال، وصحة جسدية وطبعا كل ذلك مع الثبات بالإيمان، لأنه اعجبني كلام فيروز إذا بنبعد عن الإيمان، الإيمان هو اللي يثبتنا بكل شيء أينما كانت تحدياتنا، ما فيه إيمان يصبح الشخص مشتت لكن بيثبت بالإيمان كمان دوام الصحة وراحة البال.,contentment_acceptance;spiritual_moral_anchor;dignity_autonomy;pillar_physical,ar,theme_evidence
D4_S0063,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0063,HWEL3AR.docx,3,D4_P12,participant,"Occupational therapy, elderly care, Hamad Medical Corporation, Table 3",identified,verbatim_transcript,Q2,العافية من منظوري الشخصي العافية أنا بحب أكد إنه هي تمتع بالصحة ،تمتع بالحقوق حقوقي الكاملة والعدل ،العافية إنه أكون قادر والحرية أفعل ما أريده، العافية هي كمان استقرار عاطفي واجتماعي . نعم العافية من منظوري الشخصي أو لما بقول الشخص هذا عنده عافية هلأ أنا من منظوري الشخصي بعيداً عن أستاذة مريم: (PSYCHOLOLGIST - Ihsan Center) العافية من منظوري الشخصي وبعيدعن الدراسات العلمية التي تتحدث عن عن العافية وأبعادها، العافية يكون الشخص قادر يسخر الأشياء اللي الله معطيها له يعني أنا لما أطلع الدرج ما الهث جسمي يلبيني عندما أريد تذكر شيء مخي يلبيني لما أتعرض لموقف قادر أعمل انضباط انفعالي على مشاعري أتحكم في مشاعري لما حدا يضايقنيو أنا أقود السيارة أعرف كيف اضبط انفعالاتي بحيث أن يومي مايتعكر أنا بالنسبة لي هذه هي العافية إنه هذا اللي أنا بحاول الآنأكيد مرات يعني أشياء بتغلب على أشياء مرات الإنسان بمرض بس أنا قادر تقوم قادر أتأقلم قد ما الإنسان قادر يتأقلم هو هذا الإنسان يعني أنا بالعشرين كيف كنت أتأقلم أنا لما صرت ثلاثين كيف كنت أتأقلم أنا في الأربعين كيف بتأقلم أنا في الخمسين كيف رح أتأقلم قادر أني أجاري الحياة وقادر أني أنا جسمي يلبيني لما أريد شيء ما يخونني ترى هذه أكبر خيانة لما الجسم الإنسان صحته تخونه ، الشخص يعني بيركز عليه بالإضافة للأبعاد العافية يعني وضعوها نقاط هي البعد العاطفي البعد الروحاني البعد الفكري البعد الوظيفي ا(العمل) البعد الاجتماعي المالي كل ما الشخص هذه الأبعاد عنده إلى حد ما موجودين كل ما كان عافيته متكاملةكل ما كان فيه شيء على حساب شيء يعني فيه ناس بس كتير بالوظيفة بتعطي ومعتبرين إنه هذهعافية بس مثلا صحياً هو تعبان أو اجتماعياً علاقاته مع الناس مش حلوة فيجب عليه العمل على كل هذه الأبعاد.,spiritual_moral_anchor;inner_peace_stability;family_caregiver_ecology;practical_suggestion;professional_identity,ar,theme_evidence
D4_S0106,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0106,HWEL7AR.docx,7,D4_P14,participant,"Home care physician, Table 7",identified,verbatim_transcript,Q2,العافية. اللي هو. خلنا نقول. يعني احنا لازم نقول احنا مغطيين كل الجوانب اللي هي الاجتماعية الروحية النفسية الصحية. طبعا كل واحد يكمل الثاني ممكن يكون كبير القدر صحيا كويس بس نفسيا متضرر ما في دعم حواليه. فلذلك ما راح تقدرين تقولين انه هو بعافية لان في جزئية مفقودة في هالمكان لذلك لازم تكون كل واحد مخلص للثانية. لذلك الخطة العلاجية هي أهم شيء. لازم أنت لما تزور كبير القدر حط عينك على كل مكان. طالع 360 من اللي حوليه. البيت شلون؟ هل هو آمن؟ هل هو المريض يعني قادر على اتخاذ القرارات؟ كبير القدر. عشان انا اقدر اقول انه انا راح اكلمه فيس تو فيس. حتى لو انا اعرف انه ما يتكلم ما يتواصل وياي. اهلين اللمس نعطيه اللي هو الاحترام انه انا نناديه باسمه حتى لو هو مش موجود وياي في المحادثة. لذلك لازم نكمل هاي الدائرة اللي هي الخمس المحاور لازم تكون متواصلة اذا انت يعني فيلير واذا كان في نقص طبعا انت هني دورك اذا كان لا قدر الله كبير القدر مش موجود. ما في دعم نحولهم حق سوشال ووركر نحولهم حق الخدمه الاجتماعيه لا قدر الله يعاني من امراض نفسيه نحولهم. فلذلك هي هاي الجلسة الاولى تاخذ اكثر وقت لازم نقرر فيها بس ما نناقش كل الاشياء في نفس الوقت. احنا ناخذ بس مجرد مقتطفات نخطي 360 حوالين المريض. شنو اللي محتاجه؟ محتاجه مثلا علاج طبيعي. احول حق العلاج الطبيعي على حسب الحالة يعني وكأنك تفصلين تفصلين مريض لمريض مريض خلاص مسكين يعني لا حول ولا قوة. فاقد للاهلية. خلص انت من الناحية النفسية لازم تتعاملين مع الاهل فتبدأين تتناقشين احترام آي كونتاكت حتى الاهل ترى يعانون. للاسف احنا مش بس الكبير القدر اللي يعاني في حالتنا احنا اذا كانوا فاقدين الاهلية الاهالي محتاجين ان احنا نعطيهم القيمة لانهم هم من يقومون 24 ساعة بخدمة كبير القدر . فاحنا محتاجين نعطيهم احنا حاسين فيكم لكن احنا محتاجين وقت عشان نعطيكم الخدمة كاملة. لكن عطونا وقت. وآسفة على الاطالة.,spiritual_moral_anchor;safety_security;mental_health_elderly;community_support_programs;workforce_constraint;practical_suggestion;pillar_spiritual;pillar_social;professional_identity,ar,theme_evidence
D4_S0200,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance,D4_S0200,HWEL9AR.docx,9,D4_P22,participant,"Social worker, Ihsan Center, Table 9",identified,verbatim_transcript,Q1,الجواب، و عندنا أهم شيء أن الطاولة رقم 9 أقول اسمي أو عادي؟ Nبالنسبة لي الحياة الطيبة أن يكون في توازن يعني على سبيل المثال هذه الركائز اللي عندكم أنا كل يوم أسأل نفسي أنا من الصعيد الروحي أنا شو أسوي. هل الأفكار مثلا؟ هل قريت جزء من القرآن أو حتى آية؟ يعني هذا يعتبر يدخل في الركيزة الروحية، فأنا أحسب بنفسي كل يوم، بحيث أحدث توازن ما بين هذه. لو انفقدت التوازن تحدث الأمراض النفسية والجسدية، فحاول بباب التجنب يعني، كل يوم أسأل نفسي بالركيزة الجسدية، هل أنا قولت شيء بخصوص جسمي؟ هل مثلا تنفست تنف صحيح اليوم؟ مشيت؟ أنا سويت شيء باتجاه الجسد، حتى لو وضع مثلا ماسك أو أي شيء يخص الجسد. أنا أحسنت الجسدي. بالنسبة ل عقلي قت هو الركيزة الفكرية، هل أنا قريت كتاب؟ هل أنا سمعت محاضرة مفيدة؟ Podcast كذا، فأحدث التوازن ما بينها. بالنسبة لها هي العافية ورضى والقناعة نادرة يعني أن نحصلها.,contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;mental_health_elderly;family_caregiver_ecology;pillar_spiritual;pillar_intellectual;pillar_physical;professional_identity,ar,theme_evidence
D4_S0007,Theme_2_Good_Ageing_as_Relational_Belonging_Non_Burden_and_Continued_Significance,D4_S0007,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,verbatim_transcript,Q1,"My dad, for example, loves learning how to use apps and YouTube. We should encourage this because it makes a huge difference when they feel they are not a burden and can still learn new skills.",dignity_autonomy;training_deficit;dependence_resistance;technology_integration,en,theme_evidence
D4_S0013,Theme_2_Good_Ageing_as_Relational_Belonging_Non_Burden_and_Continued_Significance,D4_S0013,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,verbatim_transcript,Q2,"It is all integrated. Sometimes a patient takes their medication, but if they are stressed, their blood pressure or glucose remains high. Elderly people often hide their problems because they don't want to be a burden, so you have to look deeper than just physical symptoms. Hidden Internal State: Her interpretation warns against a superficial assessment. She explains that because all pillars are integrated, internal states like stress can directly undermine physical health. She notes that elderly people often hide their struggles.",balance_multidimensional;dignity_autonomy;dependence_resistance,en,theme_evidence
