segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D4_S0001,HWEL10AR.docx,10,D4_M07,moderator,"Moderator, Table 10",identified,Q1,"From your own perspectives as healthcare providers for elderly people, what is well-being for you?",moderator_context,en
D4_S0002,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q5,"For me,. His interpretation provides a clear, clinical definition of ""well."" It includes medication compliance and physical independence but places equal, if not more, importance on the absence of depression and social isolation, acknowledging the critical role of mental health in the elderly. it is a holistic approach where patients lead an independent life and manage their co-morbidities easily. It is not just physical, but mental and emotional, providing them the opportunity to continue doing what they love doing",balance_multidimensional;dignity_autonomy;person_centered_care;mental_health_elderly;technology_integration;professional_identity,en
D4_S0003,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,Q1,"I feel they need more emotional support. Their cognitive disturbances can make them less receptive to making the right decisions for themselves, like staying in bed too long. With encouragement, they can change their perspective.T focuses on emotional support as the key to overcoming cognitive challenges. She believes that encouragement and emotional validation can empower the elderly to make better decisions and change their outlook, highlighting the link between emotional state and functional ability",mental_health_elderly,en
D4_S0004,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q1,"In our well-being geriatric clinic, we focus on sleep patterns, as those over 60 often have sleep disturbances. We also look at cognitive health through diet and ensuring they have social support from family or caregivers. Her interpretation is based on a practical, clinical model that targets specific age-related issues like sleep and cognitive decline. It emphasizes a multi-pronged approach that combines medical interventions (diet) with crucial social support from the family unit",mental_health_elderly;family_caregiver_ecology;technology_integration,en
D4_S0005,HWEL10AR.docx,10,D4_M07,moderator,"Moderator, Table 10",identified,Q1,"For elderly cases, well-being includes proper sleeping, healthy eating, and being physically active. It is also about respect and acceptance. In Qatar, we use the term ""Gadal"" to show they are people of heavy weight and experience in the community. They should be seen as active consultants and role models, not just ""retired"".",moderator_context,en
D4_S0006,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q1,There is nothing to beat experience; you have to live it to learn it. I find that my elderly patients just want to be heard; they have amazing stories. It is about empowering them to be actively involved in what we do.,professional_identity;general_response,en
D4_S0007,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,Q1,"My dad, for example, loves learning how to use apps and YouTube. We should encourage this because it makes a huge difference when they feel they are not a burden and can still learn new skills.",dignity_autonomy;training_deficit;dependence_resistance;technology_integration;practical_suggestion,en
D4_S0008,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q1,"I find that as they age, they can become stubborn. My father, for instance, feels like I am pushing pressure on him when I give him advice. He feels he is older and knows what to do, which is a common challenge in the clinic too.",dependence_resistance;service_recipient_voice,en
D4_S0009,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,Q1,"For me, well-being is the integration of all aspects: spiritual, emotional, physical, and mental. It means living peacefully and being satisfied with whatever comes to you, even if you have a disability. Happiness is a decision; if you decide to be happy and have a free spirit, you will have well-being.",contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;technology_integration,en
D4_S0010,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q5,"From a doctor’s perspective, ""well"" means they are medically stable, compliant with medication, and physically able to walk and perform daily activities independently. Crucially, it also means they are not depressed or isolated.",technology_integration;professional_identity,en
