source_id,case_id,filename,file_type,source_role,table_id,language,paired_note,format_notes
D4_TX_HWEL1,CASE_D4,HWEL1AR.docx,transcript,primary_verbal,1,Arabic_mixed,HWEL1NT1.docx,"Day 4 transcript. Arabic-led discussion with confirmed moderator naming, named participant turns, and weaker later question boundaries than the paired note."
D4_TX_HWEL3,CASE_D4,HWEL3AR.docx,transcript,primary_verbal,3,Arabic_mixed,HWEL3NT1.docx,"Day 4 transcript. Arabic-led discussion with five stable participant labels and a probable moderator label consolidated from short-form facilitation turns."
D4_TX_HWEL7,CASE_D4,HWEL7AR.docx,transcript,primary_verbal,7,Arabic_mixed,HWEL7NT1.docx,"Day 4 transcript. Broad Arabic discussion with repeated moderator prompts, provider and user-positioned talk, and late-arriving named participants."
D4_TX_HWEL9,CASE_D4,HWEL9AR.docx,transcript,primary_verbal,9,Arabic_mixed,,"Day 4 transcript-only source with explicit Dr Abdellatif Moderator role labeling and strong Q1-Q7 healthcare-service discussion."
D4_TX_HWEL10,CASE_D4,HWEL10AR.docx,transcript,primary_verbal,10,English,HWEL10NT1.docx; HWEL10NT2.docx,"Day 4 English transcript with four stable named participants and moderator turns, but compressed/summary-style wording that requires cautious quotation use."
D4_NT_HWEL1,CASE_D4,HWEL1NT1.docx,note,contextual_triangulation,1,Arabic,,"Day 4 note file paired to HWEL1AR with the standard seven-question template."
D4_NT_HWEL3,CASE_D4,HWEL3NT1.docx,note,contextual_triangulation,3,Arabic,,"Day 4 note file paired to HWEL3AR and used to stabilize the table 3 participant roster and question structure."
D4_NT_HWEL4,CASE_D4,HWEL4NT1.docx,note,contextual_triangulation,4,Arabic,,"Day 4 note-only source with no paired transcript in the current raw folder."
D4_NT_HWEL6,CASE_D4,HWEL6NT1.docx,note,contextual_triangulation,6,Arabic,,"Day 4 note-only source with role-style participant seats and no paired transcript in the current raw folder."
D4_NT_HWEL7,CASE_D4,HWEL7NT1.docx,note,contextual_triangulation,7,Arabic,,"Day 4 note file paired to HWEL7AR with the standard seven-question template."
D4_NT_HWEL10A,CASE_D4,HWEL10NT1.docx,note,contextual_triangulation,10,English,,"English Day 4 note file paired to HWEL10AR and especially useful for Part 2 challenge-opportunity-suggestion structure."
D4_NT_HWEL10B,CASE_D4,HWEL10NT2.docx,note,contextual_triangulation,10,English,,"Second English Day 4 note file paired to HWEL10AR and used to confirm the four-participant roster and Q1-Q4 structure."
D4_REC,CASE_D4,Health_Workshop_Suggestions Day 4.xlsx,recommendation_workbook,auxiliary_recommendation,all,mixed,,"Standalone auxiliary recommendation workbook for Day 4. Use only as clearly labeled auxiliary recommendation material, primarily for Q7 and secondarily for Q6."
